project_id,project_name,project_type,implementing_agency,state,district,scenario,land_required_ha,land_to_acquire_ha,total_parcels,affected_families,vulnerable_families,date_initiation,terrain_type,urban_rural,forest_involved,proximity_km_to_urban
SYN-00001,Synthetic Urban Infrastructure Project 00001,Urban Infrastructure,State PWD,Assam,ASS-30,NORMAL,9.7569,7.7186,146,58,6,2025-06-12,Hilly,Rural,0,59.044
SYN-00002,Synthetic Industrial Corridor Project 00002,Industrial Corridor,NHAI,Odisha,ODI-20,COMPENSATION_DELAY,40.3058,32.6436,573,392,110,2020-10-17,Hilly,Semi-Urban,0,41.887
SYN-00003,Synthetic National Highway Project 00003,National Highway,NHAI,Uttar Pradesh,UTT-11,NORMAL,27.9797,20.3025,550,123,13,2023-08-04,Hilly,Rural,1,0.916
SYN-00004,Synthetic Transmission Project 00004,Transmission,State PWD,Bihar,BIH-31,NORMAL,16.0294,11.0755,125,54,11,2021-07-28,Riverine,Rural,0,43.95
SYN-00005,Synthetic Irrigation Project 00005,Irrigation,NHAI,Bihar,BIH-09,NORMAL,35.0656,33.0638,345,261,21,2025-01-04,Coastal,Semi-Urban,0,46.983
SYN-00006,Synthetic Industrial Corridor Project 00006,Industrial Corridor,Power Utility,Madhya Pradesh,MAD-38,NORMAL,14.3791,9.6142,260,140,17,2022-06-15,Riverine,Urban,0,50.142
SYN-00007,Synthetic Irrigation Project 00007,Irrigation,Railway,Uttar Pradesh,UTT-22,RECOVERY,33.9247,31.6028,549,178,49,2019-06-07,Coastal,Rural,0,47.19
SYN-00008,Synthetic Industrial Corridor Project 00008,Industrial Corridor,NHAI,Jharkhand,JHA-01,NORMAL,5.0,4.3546,50,21,1,2025-06-21,Riverine,Semi-Urban,0,53.115
SYN-00009,Synthetic Irrigation Project 00009,Irrigation,Railway,Maharashtra,MAH-12,COMPENSATION_DELAY,14.1969,9.0611,193,114,17,2021-02-05,Hilly,Semi-Urban,1,14.331
SYN-00010,Synthetic Urban Infrastructure Project 00010,Urban Infrastructure,Railway,Bihar,BIH-25,NORMAL,106.9317,65.1923,1691,1337,326,2022-01-19,Coastal,Semi-Urban,0,52.055
SYN-00011,Synthetic Industrial Corridor Project 00011,Industrial Corridor,Irrigation Department,Madhya Pradesh,MAD-18,DOCUMENTATION_DELAY,17.9287,17.8554,203,128,26,2025-12-28,Hilly,Semi-Urban,0,30.829
SYN-00012,Synthetic Industrial Corridor Project 00012,Industrial Corridor,NHIDCL,Uttar Pradesh,UTT-17,NORMAL,14.177,9.6038,170,132,28,2020-08-29,Plain,Urban,0,52.778
SYN-00013,Synthetic Irrigation Project 00013,Irrigation,Power Utility,West Bengal,WES-23,DOCUMENTATION_DELAY,6.2907,5.5005,104,74,20,2022-02-16,Riverine,Semi-Urban,0,12.888
SYN-00014,Synthetic National Highway Project 00014,National Highway,NHAI,Madhya Pradesh,MAD-23,COMPENSATION_DELAY,39.1725,36.6437,232,124,23,2022-09-07,Coastal,Rural,0,45.7
SYN-00015,Synthetic Industrial Corridor Project 00015,Industrial Corridor,Irrigation Department,West Bengal,WES-20,NORMAL,12.8507,7.9868,145,100,9,2019-08-19,Coastal,Rural,0,16.861
SYN-00016,Synthetic Industrial Corridor Project 00016,Industrial Corridor,NHAI,Madhya Pradesh,MAD-07,ADMINISTRATIVE_BOTTLENECK,10.4322,9.3803,189,59,11,2020-07-16,Rolling,Semi-Urban,0,29.482
SYN-00017,Synthetic Industrial Corridor Project 00017,Industrial Corridor,State PWD,Bihar,BIH-34,LEGAL_DELAY,11.9025,10.0962,108,44,8,2022-09-13,Coastal,Urban,0,17.161
SYN-00018,Synthetic Transmission Project 00018,Transmission,State PWD,West Bengal,WES-10,LEGAL_DELAY,11.4087,10.9536,132,67,14,2023-07-11,Rolling,Urban,0,41.638
SYN-00019,Synthetic Industrial Corridor Project 00019,Industrial Corridor,Irrigation Department,Assam,ASS-28,MULTI_FACTOR_DELAY,8.8889,5.9472,173,53,15,2019-05-29,Hilly,Urban,0,43.093
SYN-00020,Synthetic Irrigation Project 00020,Irrigation,Power Utility,Madhya Pradesh,MAD-09,ADMINISTRATIVE_BOTTLENECK,18.7321,12.4337,301,101,17,2020-11-02,Rolling,Rural,1,25.012
SYN-00021,Synthetic Railway Project 00021,Railway,Irrigation Department,Assam,ASS-33,LEGAL_DELAY,32.6885,22.1473,283,174,27,2025-02-18,Coastal,Semi-Urban,1,69.694
SYN-00022,Synthetic Industrial Corridor Project 00022,Industrial Corridor,NHIDCL,Assam,ASS-37,LEGAL_DELAY,53.0203,46.609,767,370,74,2025-01-24,Plain,Rural,0,73.416
SYN-00023,Synthetic Irrigation Project 00023,Irrigation,NHAI,Assam,ASS-16,NORMAL,22.6883,15.6243,362,154,12,2021-12-16,Riverine,Semi-Urban,0,77.036
SYN-00024,Synthetic Transmission Project 00024,Transmission,Power Utility,Bihar,BIH-14,LEGAL_DELAY,7.7695,6.1408,53,16,3,2025-07-19,Hilly,Rural,0,72.955
