project_id,scenario_ground_truth,total_snapshots,observation_start_date,observation_end_date,final_stage,delayed,delay_days,first_delay_day,delay_30_event_count,delay_60_event_count,delay_90_event_count,is_censored,synthetic_ground_truth_note
SYN-00001,NORMAL,14,2025-06-12,2026-07-07,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00002,COMPENSATION_DELAY,9,2020-10-17,2021-06-14,3D,1,93,147.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00003,NORMAL,11,2023-08-04,2024-05-30,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00004,NORMAL,9,2021-07-28,2022-03-25,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00005,NORMAL,14,2025-01-04,2026-01-29,3D,1,89,301.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00006,NORMAL,9,2022-06-15,2023-02-10,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00007,RECOVERY,9,2019-06-07,2020-02-02,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00008,NORMAL,12,2025-06-21,2026-05-17,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00009,COMPENSATION_DELAY,13,2021-02-05,2022-01-31,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00010,NORMAL,15,2022-01-19,2023-03-15,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00011,DOCUMENTATION_DELAY,9,2025-12-28,2026-08-25,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00012,NORMAL,9,2020-08-29,2021-04-26,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00013,DOCUMENTATION_DELAY,14,2022-02-16,2023-03-13,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00014,COMPENSATION_DELAY,13,2022-09-07,2023-09-02,3D,1,122,238.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00015,NORMAL,15,2019-08-19,2020-10-12,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
